ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10248194,HY435891,12/23/2006 dnlk,035XX W 78TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0835,008,18,70,08B,1154209,1852321,2015,09/30/2015 03:35:37 PM,41.750589561,-87.710481291,"(41.750589561, -87.710481291)"
10251162,HY435885,09/3/2015 11:50:00 PM,019XX E 73RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0333,003,5,43,14,1190610,1856955,2000,09/30/2015 03:35:37 PM,41.762505122,-87.576942753,"(41.762505122, -87.576942753)"
10248198,HY435919,09/23/2015 11:46:00 PM,069XX S HALSTED ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,0733,007,6,68,26,1172166,1858813,2001,09/30/2015 03:35:37 PM,41.768028862,-87.644487793,"(41.768028862, -87.644487793)"
10248242,HY435899,09/23/2015 11:41:00 PM,002XX W 95TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CTA BUS STOP,false,false,0634,006,21,49,04B,1176493,1841948,2002,09/30/2015 03:35:37 PM,41.721653039,-87.629133304,"(41.721653039, -87.629133304)"
10248223,HY435938,09/23/2015 11:40:00 PM,024XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,STREET,true,false,1432,014,1,22,06,1159961,1915955,2003,09/30/2015 03:35:37 PM,41.925092185,-87.687650179,"(41.925092185, -87.687650179)"
10248157,HY435882,09/23/2015 11:40:00 PM,020XX W 71ST ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,0735,007,17,67,24,1163770,1857568,2004,09/30/2015 03:35:37 PM,41.764792808,-87.675298003,"(41.764792808, -87.675298003)"
10248192,HY435886,09/23/2015 11:40:00 PM,033XX W 25TH ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1024,010,22,30,08B,1154332,1887190,2005,09/30/2015 03:35:37 PM,41.846272605,-87.709102652,"(41.846272605, -87.709102652)"
10248228,HY435968,09/23/2015 11:40:00 PM,034XX W HURON ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE PORCH/HALLWAY,true,false,1121,011,27,23,18,1153156,1904451,2015,09/30/2015 03:35:37 PM,41.893662056,-87.712960719,"(41.893662056, -87.712960719)"
10249529,HY435924,09/23/2015 11:32:00 PM,079XX S YATES BLVD,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,true,false,0414,004,7,46,07,1193570,1852889,2006,09/30/2015 03:35:37 PM,41.751275763,-87.566227001,"(41.751275763, -87.566227001)"
10252453,HY440402,09/23/2015 11:30:00 PM,037XX W NORTH AVE,0460,BATTERY,SIMPLE,RESTAURANT,false,false,2535,025,26,23,08B,,,2007,09/30/2015 03:35:37 PM,,,
